event_id,freezer_id,event_time,temperature_c,humidity_pct
EV-001,FZ-101,2026-09-23T10:00:00Z,-18.0,44.0
EV-002,FZ-101,2026-09-24T08:00:00Z,-14.0,45.0
EV-003,FZ-101,2026-09-24T10:00:00Z,-13.5,46.0
EV-004,FZ-101,2026-09-24T12:00:00Z,-13.0,47.0
EV-005,FZ-102,2026-09-24T09:00:00Z,-17.0,43.0
EV-006,FZ-102,2026-09-24T12:00:00Z,-16.5,43.0
EV-007,FZ-201,2026-09-24T07:00:00Z,-14.2,48.0
EV-008,FZ-201,2026-09-24T11:00:00Z,-13.8,49.0
EV-009,FZ-201,2026-09-24T12:00:00Z,-16.0,48.0
EV-010,FZ-301,2026-09-24T06:00:00Z,-14.8,42.0
EV-011,FZ-301,2026-09-24T09:00:00Z,-14.4,42.0
EV-012,FZ-301,2026-09-24T12:00:00Z,-14.0,43.0
